Word Order	Other Properties	Subject Position	Object Position	Sentence
VF[O]LK[V]MF[S]	aux-spron	5	3	Eine Traumhochzeit spielen wird sie .
LK[V]MF[SO]	aux-spron	3	6	Deshalb wird sie eine Traumhochzeit spielen .
LK[V]MF[SO]Q	aux-spron	2	5	Wird sie eine Traumhochzeit spielen ?
MF[SO]VC[V]	aux-spron	2	5	Weil sie eine Traumhochzeit spielen wird .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird ein Kunstwerk bewerfen .
VF[O]LK[V]MF[S]	aux-spron	4	2	Ein Kunstwerk wird sie bewerfen .
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie ein Kunstwerk bewerfen .
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie ein Kunstwerk bewerfen ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie ein Kunstwerk bewerfen wird .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird eine Lösung finden .
VF[O]LK[V]MF[S]	aux-spron	4	2	Eine Lösung wird sie finden .
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie eine Lösung finden .
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie eine Lösung finden ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie eine Lösung finden wird .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird eine Zeitschrift abonnieren .
VF[O]LK[V]MF[S]	aux-spron	4	2	Eine Zeitschrift wird sie abonnieren .
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie eine Zeitschrift abonnieren .
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie eine Zeitschrift abonnieren ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie eine Zeitschrift abonnieren wird .
VF[S]LK[V]MF[O]	aux-spron	1	3	Sie werden Bärte rasieren .
VF[O]LK[V]MF[S]	aux-spron	3	1	Bärte werden sie rasieren .
LK[V]MF[SO]	aux-spron	3	4	Deshalb werden sie Bärte rasieren .
LK[V]MF[SO]Q	aux-spron	2	3	Werden sie Bärte rasieren ?
MF[SO]VC[V]	aux-spron	2	3	Weil sie Bärte rasieren werden .
VF[S]LK[V]MF[O]	aux-spron	1	3	Sie werden Kaffees trinken .
VF[O]LK[V]MF[S]	aux-spron	3	1	Kaffees werden sie trinken .
LK[V]MF[SO]	aux-spron	3	4	Deshalb werden sie Kaffees trinken .
LK[V]MF[SO]Q	aux-spron	2	3	Werden sie Kaffees trinken ?
MF[SO]VC[V]	aux-spron	2	3	Weil sie Kaffees trinken werden .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie werden Romane schreiben .
VF[O]LK[V]MF[S]	aux-spron	4	2	Romane schreiben werden sie .
LK[V]MF[SO]	aux-spron	3	5	Deshalb werden sie Romane schreiben .
LK[V]MF[SO]Q	aux-spron	2	4	Werden sie Romane schreiben ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie Romane schreiben werden .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird eine Rede beenden .
VF[O]LK[V]MF[S]	aux-spron	4	2	Eine Rede wird sie beenden .
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie eine Rede beenden .
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie eine Rede beenden ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie eine Rede beenden wird .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird ein Grundgehalt bekommen .
VF[O]LK[V]MF[S]	aux-spron	4	2	Ein Grundgehalt wird sie bekommen .
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie ein Grundgehalt bekommen .
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie ein Grundgehalt bekommen ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie ein Grundgehalt bekommen wird .
VF[S]LK[V]MF[O]	aux-spron	1	3	Sie werden Bauzäune ziehen .
VF[O]LK[V]MF[S]	aux-spron	3	1	Bauzäune werden sie ziehen .
LK[V]MF[SO]	aux-spron	3	4	Deshalb werden sie Bauzäune ziehen .
LK[V]MF[SO]Q	aux-spron	2	3	Werden sie Bauzäune ziehen ?
MF[SO]VC[V]	aux-spron	2	3	Weil sie Bauzäune ziehen werden .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird eine Tour gewinnen .
VF[O]LK[V]MF[S]	aux-spron	4	2	Eine Tour wird sie gewinnen .
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie eine Tour gewinnen .
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie eine Tour gewinnen ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie eine Tour gewinnen wird .
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird eine Bauausführung übernehmen .
VF[O]LK[V]MF[S]	aux-spron	4	2	Eine Bauausführung wird sie übernehmen .
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie eine Bauausführung übernehmen .
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie eine Bauausführung übernehmen ?
MF[SO]VC[V]	aux-spron	2	4	Weil sie eine Bauausführung übernehmen wird .
VF[S]LK[V]MF[O]	base-opron	2	4	Die Generäle starten sie .
VF[O]LK[V]MF[S]	base-opron	4	1	Sie starten die Generäle .
LK[V]MF[SO]	base-opron	4	5	Deshalb starten die Generäle sie .
LK[V]MF[OS]	base-opron	5	3	Deshalb starten sie die Generäle .
LK[V]MF[SO]Q	base-opron	3	4	Starten die Generäle sie ?
LK[V]MF[OS]Q	base-opron	4	2	Starten sie die Generäle ?
MF[SO]VC[V]	base-opron	3	4	Weil die Generäle sie starten .
MF[OS]VC[V]	base-opron	4	2	Weil sie die Generäle starten .
VF[S]LK[V]MF[O]	base-opron	2	4	Die Partnerin lebt es .
VF[O]LK[V]MF[S]	base-opron	4	1	Es lebt die Partnerin .
LK[V]MF[SO]	base-opron	4	5	Deshalb lebt die Partnerin es .
LK[V]MF[OS]	base-opron	5	3	Deshalb lebt es die Partnerin .
LK[V]MF[SO]Q	base-opron	3	4	Lebt die Partnerin es ?
LK[V]MF[OS]Q	base-opron	4	2	Lebt es die Partnerin ?
MF[SO]VC[V]	base-opron	3	4	Weil die Partnerin es lebt .
MF[OS]VC[V]	base-opron	4	2	Weil es die Partnerin lebt .
VF[S]LK[V]MF[O]	base-opron	2	4	Die Journalistin übertextet sie .
VF[O]LK[V]MF[S]	base-opron	4	1	Sie übertextet die Journalistin .
LK[V]MF[SO]	base-opron	4	5	Deshalb übertextet die Journalistin sie .
LK[V]MF[OS]	base-opron	5	3	Deshalb übertextet sie die Journalistin .
LK[V]MF[SO]Q	base-opron	3	4	Übertextet die Journalistin sie ?
LK[V]MF[OS]Q	base-opron	4	2	Übertextet sie die Journalistin ?
MF[SO]VC[V]	base-opron	3	4	Weil die Journalistin sie übertextet .
MF[OS]VC[V]	base-opron	4	2	Weil sie die Journalistin übertextet .
VF[S]LK[V]MF[O]	base-opron	2	4	Die Freundin spielt es .
VF[O]LK[V]MF[S]	base-opron	4	1	Es spielt die Freundin .
LK[V]MF[SO]	base-opron	4	5	Deshalb spielt die Freundin es .
LK[V]MF[OS]	base-opron	5	3	Deshalb spielt es die Freundin .
