Word Order	Other Properties	Subject Position	Object Position	Sentence
VF[ADV]LK[V]MF[SO]	base-amb	4	6	Daarom verzint het kind een oplossing .
LK[V]MF[SO]	base-amb	3	5	Verzint het kind een oplossing ?
MF[SO]VC[V]	base-amb	3	5	Omdat het kind een oplossing verzint .
VF[S]LK[V]MF[O]	base-amb	2	4	De lezers bestellen tijdschriften .
VF[O]LK[V]MF[S]	base-amb	4	1	Tijdschriften bestellen de lezers .
VF[ADV]LK[V]MF[SO]	base-amb	4	5	Daarom bestellen de lezers tijdschriften .
LK[V]MF[SO]	base-amb	3	4	Bestellen de lezers tijdschriften ?
MF[SO]VC[V]	base-amb	3	4	Omdat de lezers tijdschriften bestellen .
VF[S]LK[V]MF[O]	base-amb	2	4	De mannen scheren baarden .
VF[O]LK[V]MF[S]	base-amb	4	1	Baarden scheren de mannen .
VF[ADV]LK[V]MF[SO]	base-amb	4	5	Daarom scheren de mannen baarden .
LK[V]MF[SO]	base-amb	3	4	Scheren de mannen baarden ?
MF[SO]VC[V]	base-amb	3	4	Omdat de mannen baarden scheren .
VF[S]LK[V]MF[O]	base-amb	2	5	De moeders drinken kopjes koffie .
VF[O]LK[V]MF[S]	base-amb	5	2	Kopjes koffie drinken de moeders .
VF[ADV]LK[V]MF[SO]	base-amb	4	6	Daarom drinken de moeders kopjes koffie .
LK[V]MF[SO]	base-amb	3	5	Drinken de moeders kopjes koffie ?
MF[SO]VC[V]	base-amb	3	5	Omdat de moeders kopjes koffie drinken .
VF[S]LK[V]MF[O]	base-amb	2	4	De schrijvers schrijven romans .
VF[O]LK[V]MF[S]	base-amb	4	1	Romans schrijven de schrijvers .
VF[ADV]LK[V]MF[SO]	base-amb	4	5	Daarom schrijven de schrijvers romans .
LK[V]MF[SO]	base-amb	3	4	Schrijven de schrijvers romans ?
MF[SO]VC[V]	base-amb	3	4	Omdat de schrijvers romans schrijven .
VF[S]LK[V]MF[O]	base-amb	2	5	De politicus begint een onderhandeling .
VF[O]LK[V]MF[S]	base-amb	5	2	Een onderhandeling begint de politicus .
VF[ADV]LK[V]MF[SO]	base-amb	4	6	Daarom begint de politicus een onderhandeling .
LK[V]MF[SO]	base-amb	3	5	Begint de politicus een onderhandeling ?
MF[SO]VC[V]	base-amb	3	5	Omdat de politicus een onderhandeling begint .
VF[S]LK[V]MF[O]	base-amb	2	5	Het parlementslid krijgt een basissalaris .
VF[O]LK[V]MF[S]	base-amb	5	2	Een basissalaris krijgt het parlementslid .
VF[ADV]LK[V]MF[SO]	base-amb	4	6	Daarom krijgt het parlementslid een basissalaris .
LK[V]MF[SO]	base-amb	3	5	Krijgt het parlementslid een basissalaris ?
MF[SO]VC[V]	base-amb	3	5	Omdat het parlementslid een basissalaris krijgt .
VF[S]LK[V]MF[O]	base-amb	2	4	De boeren bouwen hekken .
VF[O]LK[V]MF[S]	base-amb	4	1	Hekken bouwen de boeren .
VF[ADV]LK[V]MF[SO]	base-amb	4	5	Daarom bouwen de boeren hekken .
LK[V]MF[SO]	base-amb	3	4	Bouwen de boeren hekken ?
MF[SO]VC[V]	base-amb	3	4	Omdat de boeren hekken bouwen .
VF[S]LK[V]MF[O]	base-amb	2	5	De sportvrouw wint een toer .
VF[O]LK[V]MF[S]	base-amb	5	2	Een toer wint de sportvrouw .
VF[ADV]LK[V]MF[SO]	base-amb	4	6	Daarom wint de sportvrouw een toer .
LK[V]MF[SO]	base-amb	3	5	Wint de sportvrouw een toer ?
MF[SO]VC[V]	base-amb	3	5	Omdat de sportvrouw een toer wint .
VF[S]LK[V]MF[O]	base-amb	2	4	De aannemers regelen constructies .
VF[O]LK[V]MF[S]	base-amb	4	1	Constructies regelen de aannemers .
VF[ADV]LK[V]MF[SO]	base-amb	4	5	Daarom regelen de aannemers constructies .
LK[V]MF[SO]	base-amb	3	4	Regelen de aannemers constructies ?
MF[SO]VC[V]	base-amb	3	4	Omdat de aannemers constructies regelen .
VF[S]LK[V]MF[O]	base-aux	2	4	De generaal zal aanvallen plannen .
VF[O]LK[V]MF[S]	base-aux	4	1	Aanvallen zal de generaal plannen .
VF[ADV]LK[V]MF[SO]	base-aux	4	5	Daarom zal de generaal aanvallen plannen .
LK[V]MF[SO]	base-aux	3	4	Zal de generaal aanvallen plannen ?
MF[SO]VC[V]	base-aux	3	4	Omdat de generaal aanvallen zal plannen .
VF[S]LK[V]MF[O]	base-aux	2	5	De partners zullen een dubbelleven leven .
VF[O]LK[V]MF[S]	base-aux	5	2	Een dubbelleven zullen de partners leven .
VF[ADV]LK[V]MF[SO]	base-aux	4	6	Daarom zullen de partners een dubbelleven leven .
LK[V]MF[SO]	base-aux	3	5	Zullen de partners een dubbelleven leven ?
MF[SO]VC[V]	base-aux	3	5	Omdat de partners een dubbelleven zullen leven .
VF[S]LK[V]MF[O]	base-aux	2	4	De journalist zal opnames synchroniseren .
VF[O]LK[V]MF[S]	base-aux	4	1	Opnames zal de journalist synchroniseren .
VF[ADV]LK[V]MF[SO]	base-aux	4	5	Daarom zal de journalist opnames synchroniseren .
LK[V]MF[SO]	base-aux	3	4	Zal de journalist opnames synchroniseren ?
MF[SO]VC[V]	base-aux	3	4	Omdat de journalist opnames zal synchroniseren .
VF[S]LK[V]MF[O]	base-aux	2	5	De vriendinnen zullen een droombruiloft repeteren .
VF[O]LK[V]MF[S]	base-aux	5	2	Een droombruiloft zullen de vriendinnen repeteren .
VF[ADV]LK[V]MF[SO]	base-aux	4	6	Daarom zullen de vriendinnen een droombruiloft repeteren .
LK[V]MF[SO]	base-aux	3	5	Zullen de vriendinnen een droombruiloft repeteren ?
MF[SO]VC[V]	base-aux	3	5	Omdat de vriendinnen een droombruiloft zullen repeteren .
VF[S]LK[V]MF[O]	base-aux	2	4	De voorbijganger zal kunstwerken vernielen .
VF[O]LK[V]MF[S]	base-aux	4	1	Kunstwerken zal de voorbijganger vernielen .
VF[ADV]LK[V]MF[SO]	base-aux	4	5	Daarom zal de voorbijganger kunstwerken vernielen .
LK[V]MF[SO]	base-aux	3	4	Zal de voorbijganger kunstwerken vernielen ?
MF[SO]VC[V]	base-aux	3	4	Omdat de voorbijganger kunstwerken zal vernielen .
VF[S]LK[V]MF[O]	base-aux	2	5	De kinderen zullen een oplossing verzinnen .
VF[O]LK[V]MF[S]	base-aux	5	2	Een oplossing zullen de kinderen verzinnen .
VF[ADV]LK[V]MF[SO]	base-aux	4	6	Daarom zullen de kinderen een oplossing verzinnen .
LK[V]MF[SO]	base-aux	3	5	Zullen de kinderen een oplossing verzinnen ?
MF[SO]VC[V]	base-aux	3	5	Omdat de kinderen een oplossing zullen verzinnen .
VF[S]LK[V]MF[O]	base-aux	2	4	De lezer zal tijdschriften bestellen .
VF[O]LK[V]MF[S]	base-aux	4	1	Tijdschriften zal de lezer bestellen .
VF[ADV]LK[V]MF[SO]	base-aux	4	5	Daarom zal de lezer tijdschriften bestellen .
LK[V]MF[SO]	base-aux	3	4	Zal de lezer tijdschriften bestellen ?
MF[SO]VC[V]	base-aux	3	4	Omdat de lezer tijdschriften zal bestellen .
VF[S]LK[V]MF[O]	base-aux	2	4	De man zal baarden scheren .
VF[O]LK[V]MF[S]	base-aux	4	1	Baarden zal de man scheren .
VF[ADV]LK[V]MF[SO]	base-aux	4	5	Daarom zal de man baarden scheren .
LK[V]MF[SO]	base-aux	3	4	Zal de man baarden scheren ?
MF[SO]VC[V]	base-aux	3	4	Omdat de man baarden zal scheren .
VF[S]LK[V]MF[O]	base-aux	2	6	De moeders zullen een kopje koffie drinken .
VF[O]LK[V]MF[S]	base-aux	6	3	Een kopje koffie zullen de moeders drinken .
VF[ADV]LK[V]MF[SO]	base-aux	4	7	Daarom zullen de moeders een kopje koffie drinken .
LK[V]MF[SO]	base-aux	3	6	Zullen de moeders een kopje koffie drinken ?
MF[SO]VC[V]	base-aux	3	6	Omdat de moeders een kopje koffie zullen drinken .
VF[S]LK[V]MF[O]	base-aux	2	4	De schrijver zal romans schrijven .
VF[O]LK[V]MF[S]	base-aux	4	1	Romans zal de schrijver schrijven .
VF[ADV]LK[V]MF[SO]	base-aux	4	5	Daarom zal de schrijver romans schrijven .
LK[V]MF[SO]	base-aux	3	4	Zal de schrijver romans schrijven ?
MF[SO]VC[V]	base-aux	3	4	Omdat de schrijver romans zal schrijven .
VF[S]LK[V]MF[O]	base-aux	2	4	De politicus zal onderhandelingen beginnen .
VF[O]LK[V]MF[S]	base-aux	4	1	Onderhandelingen zal de politicus beginnen .
VF[ADV]LK[V]MF[SO]	base-aux	4	5	Daarom zal de politicus onderhandelingen beginnen .
LK[V]MF[SO]	base-aux	3	4	Zal de politicus onderhandelingen beginnen ?
MF[SO]VC[V]	base-aux	3	4	Omdat de politicus onderhandelingen zal beginnen .
VF[S]LK[V]MF[O]	base-aux	2	5	De parlementsleden zullen een basissalaris krijgen .
VF[O]LK[V]MF[S]	base-aux	5	2	Een basissalaris zullen de parlementsleden krijgen .
VF[ADV]LK[V]MF[SO]	base-aux	4	6	Daarom zullen de parlementsleden een basissalaris krijgen .
LK[V]MF[SO]	base-aux	3	5	Zullen de parlementsleden een basissalaris krijgen ?
MF[SO]VC[V]	base-aux	3	5	Omdat de parlementsleden een basissalaris zullen krijgen .
VF[S]LK[V]MF[O]	base-aux	2	4	De boer zal hekken bouwen .
VF[O]LK[V]MF[S]	base-aux	4	1	Hekken zal de boer bouwen .
VF[ADV]LK[V]MF[SO]	base-aux	4	5	Daarom zal de boer hekken bouwen .
LK[V]MF[SO]	base-aux	3	4	Zal de boer hekken bouwen ?
MF[SO]VC[V]	base-aux	3	4	Omdat de boer hekken zal bouwen .
VF[S]LK[V]MF[O]	base-aux	2	5	De sportvrouwen zullen een toer winnen .
VF[O]LK[V]MF[S]	base-aux	5	2	Een toer zullen de sportvrouwen winnen .
VF[ADV]LK[V]MF[SO]	base-aux	4	6	Daarom zullen de sportvrouwen een toer winnen .
LK[V]MF[SO]	base-aux	3	5	Zullen de sportvrouwen een toer winnen ?
MF[SO]VC[V]	base-aux	3	5	Omdat de sportvrouwen een toer zullen winnen .
VF[S]LK[V]MF[O]	base-aux	2	4	De aannemer zal constructies regelen .
VF[O]LK[V]MF[S]	base-aux	4	1	Constructies zal de aannemer regelen .
VF[ADV]LK[V]MF[SO]	base-aux	4	5	Daarom zal de aannemer constructies regelen .
LK[V]MF[SO]	base-aux	3	4	Zal de aannemer constructies regelen ?
MF[SO]VC[V]	base-aux	3	4	Omdat de aannemer constructies zal regelen .
VF[S]LK[V]MF[O]	amb-aux	2	4	De generaals zullen aanvallen plannen .
VF[O]LK[V]MF[S]	amb-aux	4	1	Aanvallen zullen de generaals plannen .
VF[ADV]LK[V]MF[SO]	amb-aux	4	5	Daarom zullen de generaals aanvallen plannen .
LK[V]MF[SO]	amb-aux	3	4	Zullen de generaals aanvallen plannen ?
MF[SO]VC[V]	amb-aux	3	4	Omdat de generaals aanvallen zullen plannen .
VF[S]LK[V]MF[O]	amb-aux	2	5	De partner zal een dubbelleven leven .
VF[O]LK[V]MF[S]	amb-aux	5	2	Een dubbelleven zal de partner leven .
VF[ADV]LK[V]MF[SO]	amb-aux	4	6	Daarom zal de partner een dubbelleven leven .
LK[V]MF[SO]	amb-aux	3	5	Zal de partner een dubbelleven leven ?
MF[SO]VC[V]	amb-aux	3	5	Omdat de partner een dubbelleven zal leven .
VF[S]LK[V]MF[O]	amb-aux	2	4	De journalisten zullen opnames synchroniseren .
VF[O]LK[V]MF[S]	amb-aux	4	1	Opnames zullen de journalisten synchroniseren .
VF[ADV]LK[V]MF[SO]	amb-aux	4	5	Daarom zullen de journalisten opnames synchroniseren .
LK[V]MF[SO]	amb-aux	3	4	Zullen de journalisten opnames synchroniseren ?
MF[SO]VC[V]	amb-aux	3	4	Omdat de journalisten opnames zullen synchroniseren .
VF[S]LK[V]MF[O]	amb-aux	2	5	De vriendin zal een droombruiloft repeteren .
VF[O]LK[V]MF[S]	amb-aux	5	2	Een droombruiloft zal de vriendin repeteren .
VF[ADV]LK[V]MF[SO]	amb-aux	4	6	Daarom zal de vriendin een droombruiloft repeteren .
LK[V]MF[SO]	amb-aux	3	5	Zal de vriendin een droombruiloft repeteren ?
MF[SO]VC[V]	amb-aux	3	5	Omdat de vriendin een droombruiloft zal repeteren .
VF[S]LK[V]MF[O]	amb-aux	2	4	De voorbijgangers zullen kunstwerken vernielen .
VF[O]LK[V]MF[S]	amb-aux	4	1	Kunstwerken zullen de voorbijgangers vernielen .
VF[ADV]LK[V]MF[SO]	amb-aux	4	5	Daarom zullen de voorbijgangers kunstwerken vernielen .
LK[V]MF[SO]	amb-aux	3	4	Zullen de voorbijgangers kunstwerken vernielen ?
MF[SO]VC[V]	amb-aux	3	4	Omdat de voorbijgangers kunstwerken zullen vernielen .
VF[S]LK[V]MF[O]	amb-aux	2	5	Het kind zal een oplossing verzinnen .
VF[O]LK[V]MF[S]	amb-aux	5	2	Een oplossing zal het kind verzinnen .
VF[ADV]LK[V]MF[SO]	amb-aux	4	6	Daarom zal het kind een oplossing verzinnen .
LK[V]MF[SO]	amb-aux	3	5	Zal het kind een oplossing verzinnen ?
MF[SO]VC[V]	amb-aux	3	5	Omdat het kind een oplossing zal verzinnen .
VF[S]LK[V]MF[O]	amb-aux	2	4	De lezers zullen tijdschriften bestellen .
VF[O]LK[V]MF[S]	amb-aux	4	1	Tijdschriften zullen de lezers bestellen .
VF[ADV]LK[V]MF[SO]	amb-aux	4	5	Daarom zullen de lezers tijdschriften bestellen .
LK[V]MF[SO]	amb-aux	3	4	Zullen de lezers tijdschriften bestellen ?
MF[SO]VC[V]	amb-aux	3	4	Omdat de lezers tijdschriften zullen bestellen .
VF[S]LK[V]MF[O]	amb-aux	2	4	De mannen zullen baarden scheren .
VF[O]LK[V]MF[S]	amb-aux	4	1	Baarden zullen de mannen scheren .
VF[ADV]LK[V]MF[SO]	amb-aux	4	5	Daarom zullen de mannen baarden scheren .
LK[V]MF[SO]	amb-aux	3	4	Zullen de mannen baarden scheren ?
MF[SO]VC[V]	amb-aux	3	4	Omdat de mannen baarden zullen scheren .
VF[S]LK[V]MF[O]	amb-aux	2	5	De moeders zullen kopjes koffie drinken .
VF[O]LK[V]MF[S]	amb-aux	5	2	Kopjes koffie zullen de moeders drinken .
VF[ADV]LK[V]MF[SO]	amb-aux	4	6	Daarom zullen de moeders kopjes koffie drinken .
LK[V]MF[SO]	amb-aux	3	5	Zullen de moeders kopjes koffie drinken ?
MF[SO]VC[V]	amb-aux	3	5	Omdat de moeders kopjes koffie zullen drinken .
VF[S]LK[V]MF[O]	amb-aux	2	4	De schrijvers zullen romans schrijven .
VF[O]LK[V]MF[S]	amb-aux	4	1	Romans zullen de schrijvers schrijven .
VF[ADV]LK[V]MF[SO]	amb-aux	4	5	Daarom zullen de schrijvers romans schrijven .
LK[V]MF[SO]	amb-aux	3	4	Zullen de schrijvers romans schrijven ?
MF[SO]VC[V]	amb-aux	3	4	Omdat de schrijvers romans zullen schrijven .
VF[S]LK[V]MF[O]	amb-aux	2	5	De politicus zal een onderhandeling beginnen .
VF[O]LK[V]MF[S]	amb-aux	5	2	Een onderhandeling zal de politicus beginnen .
VF[ADV]LK[V]MF[SO]	amb-aux	4	6	Daarom zal de politicus een onderhandeling beginnen .
LK[V]MF[SO]	amb-aux	3	5	Zal de politicus een onderhandeling beginnen ?
MF[SO]VC[V]	amb-aux	3	5	Omdat de politicus een onderhandeling zal beginnen .
VF[S]LK[V]MF[O]	amb-aux	2	5	Het parlementslid zal een basissalaris krijgen .
VF[O]LK[V]MF[S]	amb-aux	5	2	Een basissalaris zal het parlementslid krijgen .
VF[ADV]LK[V]MF[SO]	amb-aux	4	6	Daarom zal het parlementslid een basissalaris krijgen .
LK[V]MF[SO]	amb-aux	3	5	Zal het parlementslid een basissalaris krijgen ?
MF[SO]VC[V]	amb-aux	3	5	Omdat het parlementslid een basissalaris zal krijgen .
VF[S]LK[V]MF[O]	amb-aux	2	4	De boeren zullen hekken bouwen .
VF[O]LK[V]MF[S]	amb-aux	4	1	Hekken zullen de boeren bouwen .
VF[ADV]LK[V]MF[SO]	amb-aux	4	5	Daarom zullen de boeren hekken bouwen .
LK[V]MF[SO]	amb-aux	3	4	Zullen de boeren hekken bouwen ?
MF[SO]VC[V]	amb-aux	3	4	Omdat de boeren hekken zullen bouwen .
VF[S]LK[V]MF[O]	amb-aux	2	5	De sportvrouw zal een toer winnen .
VF[O]LK[V]MF[S]	amb-aux	5	2	Een toer zal de sportvrouw winnen .
VF[ADV]LK[V]MF[SO]	amb-aux	4	6	Daarom zal de sportvrouw een toer winnen .
LK[V]MF[SO]	amb-aux	3	5	Zal de sportvrouw een toer winnen ?
MF[SO]VC[V]	amb-aux	3	5	Omdat de sportvrouw een toer zal winnen .
VF[S]LK[V]MF[O]	amb-aux	2	4	De aannemers zullen constructies regelen .
VF[O]LK[V]MF[S]	amb-aux	4	1	Constructies zullen de aannemers regelen .
VF[ADV]LK[V]MF[SO]	amb-aux	4	5	Daarom zullen de aannemers constructies regelen .
LK[V]MF[SO]	amb-aux	3	4	Zullen de aannemers constructies regelen ?
MF[SO]VC[V]	amb-aux	3	4	Omdat de aannemers constructies zullen regelen .
VF[S]LK[V]MF[O]	base-spron	1	3	Hij plant aanvallen .
VF[O]LK[V]MF[S]	base-spron	3	1	Aanvallen plant hij .
VF[ADV]LK[V]MF[SO]	base-spron	3	4	Daarom plant hij aanvallen .
LK[V]MF[SO]	base-spron	2	3	Plant hij aanvallen ?
MF[SO]VC[V]	base-spron	2	3	Omdat hij aanvallen plant .
VF[S]LK[V]MF[O]	base-spron	1	4	Zij leven een dubbelleven .
VF[O]LK[V]MF[S]	base-spron	4	2	Een dubbelleven leven zij .
VF[ADV]LK[V]MF[SO]	base-spron	3	5	Daarom leven zij een dubbelleven .
LK[V]MF[SO]	base-spron	2	4	Leven zij een dubbelleven ?
MF[SO]VC[V]	base-spron	2	4	Omdat zij een dubbelleven leven .
VF[S]LK[V]MF[O]	base-spron	1	3	Hij synchroniseert opnames .
VF[O]LK[V]MF[S]	base-spron	3	1	Opnames synchroniseert hij .
VF[ADV]LK[V]MF[SO]	base-spron	3	4	Daarom synchroniseert hij opnames .
LK[V]MF[SO]	base-spron	2	3	Synchroniseert hij opnames ?
MF[SO]VC[V]	base-spron	2	3	Omdat hij opnames synchroniseert .
VF[S]LK[V]MF[O]	base-spron	1	4	We repeteren een droombruiloft .
VF[O]LK[V]MF[S]	base-spron	4	2	Een droombruiloft repeteren we .
VF[ADV]LK[V]MF[SO]	base-spron	3	5	Daarom repeteren we een droombruiloft .
LK[V]MF[SO]	base-spron	2	4	Repeteren we een droombruiloft ?
MF[SO]VC[V]	base-spron	2	4	Omdat we een droombruiloft repeteren .
VF[S]LK[V]MF[O]	base-spron	1	3	Hij vernielt kunstwerken .
VF[O]LK[V]MF[S]	base-spron	3	1	Kunstwerken vernielt hij .
VF[ADV]LK[V]MF[SO]	base-spron	3	4	Daarom vernielt hij kunstwerken .
LK[V]MF[SO]	base-spron	2	3	Vernielt hij kunstwerken ?
MF[SO]VC[V]	base-spron	2	3	Omdat hij kunstwerken vernielt .
VF[S]LK[V]MF[O]	base-spron	1	4	Zij verzinnen een oplossing .
