Word Order	Other Properties	Subject Position	Object Position	Sentence					Subj preceds obj	Is ambiguous	Not amb, subj before obj	Not amb, obj before subj		Satzl�nge	Is pp/aux	
MF[SO]VC[V]	base-acc	3	5	Weil die Abgeordneten ein Grundgehalt bekommen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Der Kleinbauer zieht einen Bauzaun .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Einen Bauzaun zieht der Kleinbauer .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb zieht der Kleinbauer einen Bauzaun .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Zieht der Kleinbauer einen Bauzaun ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil der Kleinbauer einen Bauzaun zieht .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Die Sportlerinnen gewinnen eine Tour .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Tour gewinnen die Sportlerinnen .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb gewinnen die Sportlerinnen eine Tour .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Gewinnen die Sportlerinnen eine Tour ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil die Sportlerinnen eine Tour gewinnen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-acc	2	5	Der Handwerker übernimmt eine Bauausführung .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Bauausführung übernimmt der Handwerker .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-acc	4	6	Deshalb übernimmt der Handwerker eine Bauausführung .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-acc	3	5	Übernimmt der Handwerker eine Bauausführung ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-acc	3	5	Weil der Handwerker eine Bauausführung übernimmt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Die Diebin entkommt einer Anklagebank .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einer Anklagebank entkommt die Diebin .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb entkommt die Diebin einer Anklagebank .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Entkommt die Diebin einer Anklagebank ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil die Diebin einer Anklagebank entkommt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Die Ratten entstammen einer Kanalisation .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einer Kanalisation entstammen die Ratten .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb entstammen die Ratten einer Kanalisation .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Entstammen die Ratten einer Kanalisation ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil die Ratten einer Kanalisation entstammen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Der Abiturient folgt einem Vortrag .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einem Vortrag folgt der Abiturient .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb folgt der Abiturient einem Vortrag .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Folgt der Abiturient einem Vortrag ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil der Abiturient einem Vortrag folgt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Der Referent entschwindet einer Sitzung .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einer Sitzung entschwindet der Referent .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb entschwindet der Referent einer Sitzung .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Entschwindet der Referent einer Sitzung ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil der Referent einer Sitzung entschwindet .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Die Parkourläufer begegnen einem Hindernis .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einem Hindernis begegnen die Parkourläufer .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb begegnen die Parkourläufer einem Hindernis .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Begegnen die Parkourläufer einem Hindernis ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil die Parkourläufer einem Hindernis begegnen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Die Deserteure schaden einem Ansehen .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einem Ansehen schaden die Deserteure .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb schaden die Deserteure einem Ansehen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Schaden die Deserteure einem Ansehen ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil die Deserteure einem Ansehen schaden .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Der Manager nützt einer Karriere .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einer Karriere nützt der Manager .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb nützt der Manager einer Karriere .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Nützt der Manager einer Karriere ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil der Manager einer Karriere nützt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Die Pfadfinder gleichen einem Ameisenhaufen .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einem Ameisenhaufen gleichen die Pfadfinder .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb gleichen die Pfadfinder einem Ameisenhaufen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Gleichen die Pfadfinder einem Ameisenhaufen ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil die Pfadfinder einem Ameisenhaufen gleichen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Die Fußgängerin winkt einem Auto .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einem Auto winkt die Fußgängerin .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb winkt die Fußgängerin einem Auto .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Winkt die Fußgängerin einem Auto ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil die Fußgängerin einem Auto winkt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Der Akteur untersteht einem Kommando .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einem Kommando untersteht der Akteur .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb untersteht der Akteur einem Kommando .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Untersteht der Akteur einem Kommando ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil der Akteur einem Kommando untersteht .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Die Astronauten vertrauen einer Bodenstation .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einer Bodenstation vertrauen die Astronauten .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb vertrauen die Astronauten einer Bodenstation .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Vertrauen die Astronauten einer Bodenstation ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil die Astronauten einer Bodenstation vertrauen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Die Demonstranten entgehen einer Räumung .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einer Räumung entgehen die Demonstranten .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb entgehen die Demonstranten einer Räumung .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Entgehen die Demonstranten einer Räumung ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil die Demonstranten einer Räumung entgehen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Der Schreihals gehorcht einem Impuls .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einem Impuls gehorcht der Schreihals .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb gehorcht der Schreihals einem Impuls .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Gehorcht der Schreihals einem Impuls ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil der Schreihals einem Impuls gehorcht .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Der Sekretär trotzt einer Anweisung .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einer Anweisung trotzt der Sekretär .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb trotzt der Sekretär einer Anweisung .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Trotzt der Sekretär einer Anweisung ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil der Sekretär einer Anweisung trotzt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-dat	2	5	Die Gegner antworten einem Aufruf .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-dat	5	2	Einem Aufruf antworten die Gegner .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	base-dat	4	6	Deshalb antworten die Gegner einem Aufruf .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	base-dat	3	5	Antworten die Gegner einem Aufruf ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	base-dat	3	5	Weil die Gegner einem Aufruf antworten .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-amb	2	4	Die Generäle starten Angriffe .					WAHR	WAHR	FALSCH	FALSCH		4	0	2
VF[O]LK[V]MF[S]	base-amb	4	1	Angriffe starten die Generäle .					FALSCH	WAHR	FALSCH	FALSCH		4	0	3
LK[V]MF[SO]	base-amb	4	5	Deshalb starten die Generäle Angriffe .					WAHR	WAHR	FALSCH	FALSCH		5	0	1
LK[V]MF[SO]Q	base-amb	3	4	Starten die Generäle Angriffe ?					WAHR	WAHR	FALSCH	FALSCH		4	0	1
MF[SO]VC[V]	base-amb	3	4	Weil die Generäle Angriffe starten .					WAHR	WAHR	FALSCH	FALSCH		5	0	1
VF[S]LK[V]MF[O]	base-amb	2	5	Die Partnerin lebt ein Doppelleben .					WAHR	WAHR	FALSCH	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-amb	5	2	Ein Doppelleben lebt die Partnerin .					FALSCH	WAHR	FALSCH	FALSCH		5	0	3
LK[V]MF[SO]	base-amb	4	6	Deshalb lebt die Partnerin ein Doppelleben .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
LK[V]MF[SO]Q	base-amb	3	5	Lebt die Partnerin ein Doppelleben ?					WAHR	WAHR	FALSCH	FALSCH		5	0	2
MF[SO]VC[V]	base-amb	3	5	Weil die Partnerin ein Doppelleben lebt .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-amb	2	5	Die Journalistin übertextet eine Aufnahme .					WAHR	WAHR	FALSCH	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-amb	5	2	Eine Aufnahme übertextet die Journalistin .					FALSCH	WAHR	FALSCH	FALSCH		5	0	3
LK[V]MF[SO]	base-amb	4	6	Deshalb übertextet die Journalistin eine Aufnahme .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
LK[V]MF[SO]Q	base-amb	3	5	Übertextet die Journalistin eine Aufnahme ?					WAHR	WAHR	FALSCH	FALSCH		5	0	2
MF[SO]VC[V]	base-amb	3	5	Weil die Journalistin eine Aufnahme übertextet .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-amb	2	5	Die Freundin spielt eine Traumhochzeit .					WAHR	WAHR	FALSCH	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-amb	5	2	Eine Traumhochzeit spielt die Freundin .					FALSCH	WAHR	FALSCH	FALSCH		5	0	3
LK[V]MF[SO]	base-amb	4	6	Deshalb spielt die Freundin eine Traumhochzeit .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
LK[V]MF[SO]Q	base-amb	3	5	Spielt die Freundin eine Traumhochzeit ?					WAHR	WAHR	FALSCH	FALSCH		5	0	2
MF[SO]VC[V]	base-amb	3	5	Weil die Freundin eine Traumhochzeit spielt .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-amb	2	5	Die Passantin bewirft ein Kunstwerk .					WAHR	WAHR	FALSCH	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-amb	5	2	Ein Kunstwerk bewirft die Passantin .					FALSCH	WAHR	FALSCH	FALSCH		5	0	3
LK[V]MF[SO]	base-amb	4	6	Deshalb bewirft die Passantin ein Kunstwerk .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
LK[V]MF[SO]Q	base-amb	3	5	Bewirft die Passantin ein Kunstwerk ?					WAHR	WAHR	FALSCH	FALSCH		5	0	2
MF[SO]VC[V]	base-amb	3	5	Weil die Passantin ein Kunstwerk bewirft .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-amb	2	5	Das Kind findet eine Lösung .					WAHR	WAHR	FALSCH	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-amb	5	2	Eine Lösung findet das Kind .					FALSCH	WAHR	FALSCH	FALSCH		5	0	3
LK[V]MF[SO]	base-amb	4	6	Deshalb findet das Kind eine Lösung .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
LK[V]MF[SO]Q	base-amb	3	5	Findet das Kind eine Lösung ?					WAHR	WAHR	FALSCH	FALSCH		5	0	2
MF[SO]VC[V]	base-amb	3	5	Weil das Kind eine Lösung findet .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-amb	2	5	Die Leserin abonniert eine Zeitschrift .					WAHR	WAHR	FALSCH	FALSCH		5	0	3
VF[O]LK[V]MF[S]	base-amb	5	2	Eine Zeitschrift abonniert die Leserin .					FALSCH	WAHR	FALSCH	FALSCH		5	0	3
LK[V]MF[SO]	base-amb	4	6	Deshalb abonniert die Leserin eine Zeitschrift .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
LK[V]MF[SO]Q	base-amb	3	5	Abonniert die Leserin eine Zeitschrift ?					WAHR	WAHR	FALSCH	FALSCH		5	0	2
MF[SO]VC[V]	base-amb	3	5	Weil die Leserin eine Zeitschrift abonniert .					WAHR	WAHR	FALSCH	FALSCH		6	0	2
VF[S]LK[V]MF[O]	base-amb	2	4	Die Herren rasieren Bärte .					WAHR	WAHR	FALSCH	FALSCH		4	0	2
VF[O]LK[V]MF[S]	base-amb	4	1	Bärte rasieren die Herren .					FALSCH	WAHR	FALSCH	FALSCH		4	0	3
LK[V]MF[SO]	base-amb	4	5	Deshalb rasieren die Herren Bärte .					WAHR	WAHR	FALSCH	FALSCH		5	0	1
LK[V]MF[SO]Q	base-amb	3	4	Rasieren die Herren Bärte ?					WAHR	WAHR	FALSCH	FALSCH		4	0	1
MF[SO]VC[V]	base-amb	3	4	Weil die Herren Bärte rasieren .					WAHR	WAHR	FALSCH	FALSCH		5	0	1
VF[S]LK[V]MF[O]	base-amb	2	4	Die Mamas trinken Kaffees .					WAHR	WAHR	FALSCH	FALSCH		4	0	2
VF[O]LK[V]MF[S]	base-amb	4	1	Kaffees trinken die Mamas .					FALSCH	WAHR	FALSCH	FALSCH		4	0	3
