Word Order	Other Properties	Subject Position	Object Position	Sentence										Satzl�nge	Is pp/aux	Subj-obj distance			
LK[V]MF[SO]Q	base-acc	3	4	Ziehen die Kleinbauern Bauzäune ?					WAHR					4	0	1			
MF[SO]VC[V]	base-acc	3	4	Weil die Kleinbauern Bauzäune ziehen .					WAHR					5	0	1			
VF[S]LK[V]MF[O]	base-acc	2	5	Die Sportlerin gewinnt eine Tour .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Tour gewinnt die Sportlerin .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb gewinnt die Sportlerin eine Tour .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Gewinnt die Sportlerin eine Tour ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil die Sportlerin eine Tour gewinnt .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-acc	2	5	Die Handwerkerin übernimmt eine Bauausführung .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Bauausführung übernimmt die Handwerkerin .					FALSCH					5	0	3			
LK[V]MF[SO]	base-acc	4	6	Deshalb übernimmt die Handwerkerin eine Bauausführung .					WAHR					6	0	2			
LK[V]MF[SO]Q	base-acc	3	5	Übernimmt die Handwerkerin eine Bauausführung ?					WAHR					5	0	2			
MF[SO]VC[V]	base-acc	3	5	Weil die Handwerkerin eine Bauausführung übernimmt .					WAHR					6	0	2			
VF[S]LK[V]MF[O]	base-aux	2	4	Die Generäle werden Angriffe starten .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	base-aux	4	1	Angriffe werden die Generäle starten .					FALSCH					5	1	3			
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Generäle Angriffe starten .					WAHR					6	1	1			
LK[V]MF[SO]Q	base-aux	3	4	Werden die Generäle Angriffe starten ?					WAHR					5	1	1			
MF[SO]VC[V]	base-aux	3	4	Weil die Generäle Angriffe starten werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	base-aux	2	5	Die Partnerin wird ein Doppelleben leben .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Ein Doppelleben wird die Partnerin leben .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Partnerin ein Doppelleben leben .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird die Partnerin ein Doppelleben leben ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil die Partnerin ein Doppelleben leben wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-aux	2	5	Die Journalistin wird eine Aufnahme übertexten .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Aufnahme wird die Journalistin übertexten .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Journalistin eine Aufnahme übertexten .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird die Journalistin eine Aufnahme übertexten ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil die Journalistin eine Aufnahme übertexten wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-aux	2	5	Die Freundin wird eine Traumhochzeit spielen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Traumhochzeit wird die Freundin spielen .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Freundin eine Traumhochzeit spielen .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird die Freundin eine Traumhochzeit spielen ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil die Freundin eine Traumhochzeit spielen wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-aux	2	5	Die Passantin wird ein Kunstwerk bewerfen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Ein Kunstwerk wird die Passantin bewerfen .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Passantin ein Kunstwerk bewerfen .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird die Passantin ein Kunstwerk bewerfen ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil die Passantin ein Kunstwerk bewerfen wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-aux	2	5	Das Kind wird eine Lösung finden .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Lösung wird das Kind finden .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird das Kind eine Lösung finden .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird das Kind eine Lösung finden ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil das Kind eine Lösung finden wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-aux	2	5	Die Leserin wird eine Zeitschrift abonnieren .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Zeitschrift wird die Leserin abonnieren .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Leserin eine Zeitschrift abonnieren .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird die Leserin eine Zeitschrift abonnieren ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil die Leserin eine Zeitschrift abonnieren wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-aux	2	4	Die Herren werden Bärte rasieren .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	base-aux	4	1	Bärte werden die Herren rasieren .					FALSCH					5	1	3			
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Herren Bärte rasieren .					WAHR					6	1	1			
LK[V]MF[SO]Q	base-aux	3	4	Werden die Herren Bärte rasieren ?					WAHR					5	1	1			
MF[SO]VC[V]	base-aux	3	4	Weil die Herren Bärte rasieren werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	base-aux	2	4	Die Mamas werden Kaffees trinken .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	base-aux	4	1	Kaffees werden die Mamas trinken .					FALSCH					5	1	3			
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Mamas Kaffees trinken .					WAHR					6	1	1			
LK[V]MF[SO]Q	base-aux	3	4	Werden die Mamas Kaffees trinken ?					WAHR					5	1	1			
MF[SO]VC[V]	base-aux	3	4	Weil die Mamas Kaffees trinken werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	base-aux	2	4	Die Schriftsteller werden Romane schreiben .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	base-aux	4	1	Romane werden die Schriftsteller schreiben .					FALSCH					5	1	3			
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Schriftsteller Romane schreiben .					WAHR					6	1	1			
LK[V]MF[SO]Q	base-aux	3	4	Werden die Schriftsteller Romane schreiben ?					WAHR					5	1	1			
MF[SO]VC[V]	base-aux	3	4	Weil die Schriftsteller Romane schreiben werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	base-aux	2	5	Die Politikerin wird eine Rede beenden .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Rede wird die Politikerin beenden .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Politikerin eine Rede beenden .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird die Politikerin eine Rede beenden ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil die Politikerin eine Rede beenden wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-aux	2	5	Die Abgeordnete wird ein Grundgehalt bekommen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Ein Grundgehalt wird die Abgeordnete bekommen .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Abgeordnete ein Grundgehalt bekommen .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird die Abgeordnete ein Grundgehalt bekommen ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil die Abgeordnete ein Grundgehalt bekommen wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-aux	2	4	Die Kleinbauern werden Bauzäune ziehen .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	base-aux	4	1	Bauzäune werden die Kleinbauern ziehen .					FALSCH					5	1	3			
LK[V]MF[SO]	base-aux	4	5	Deshalb werden die Kleinbauern Bauzäune ziehen .					WAHR					6	1	1			
LK[V]MF[SO]Q	base-aux	3	4	Werden die Kleinbauern Bauzäune ziehen ?					WAHR					5	1	1			
MF[SO]VC[V]	base-aux	3	4	Weil die Kleinbauern Bauzäune ziehen werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	base-aux	2	5	Die Sportlerin wird eine Tour gewinnen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Tour wird die Sportlerin gewinnen .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Sportlerin eine Tour gewinnen .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird die Sportlerin eine Tour gewinnen ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil die Sportlerin eine Tour gewinnen wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-aux	2	5	Die Handwerkerin wird eine Bauausführung übernehmen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	base-aux	5	2	Eine Bauausführung wird die Handwerkerin übernehmen .					FALSCH					6	1	3			
LK[V]MF[SO]	base-aux	4	6	Deshalb wird die Handwerkerin eine Bauausführung übernehmen .					WAHR					7	1	2			
LK[V]MF[SO]Q	base-aux	3	5	Wird die Handwerkerin eine Bauausführung übernehmen ?					WAHR					6	1	2			
MF[SO]VC[V]	base-aux	3	5	Weil die Handwerkerin eine Bauausführung übernehmen wird .					WAHR					7	1	2			
VF[S]LK[V]MF[O]	base-spron	1	3	Sie starten Angriffe .					WAHR					3	0	2			
VF[O]LK[V]MF[S]	base-spron	3	1	Angriffe starten sie .					FALSCH					3	0	2			
LK[V]MF[SO]	base-spron	3	4	Deshalb starten sie Angriffe .					WAHR					4	0	1			
LK[V]MF[SO]Q	base-spron	2	3	Starten sie Angriffe ?					WAHR					3	0	1			
MF[SO]VC[V]	base-spron	2	3	Weil sie Angriffe starten .					WAHR					4	0	1			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie lebt ein Doppelleben .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Ein Doppelleben lebt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb lebt sie ein Doppelleben .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Lebt sie ein Doppelleben ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie ein Doppelleben lebt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie übertextet eine Aufnahme .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Aufnahme übertextet sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb übertextet sie eine Aufnahme .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Übertextet sie eine Aufnahme ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Aufnahme übertextet .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie spielt eine Traumhochzeit .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Traumhochzeit spielt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb spielt sie eine Traumhochzeit .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Spielt sie eine Traumhochzeit ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Traumhochzeit spielt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie bewirft ein Kunstwerk .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Ein Kunstwerk bewirft sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb bewirft sie ein Kunstwerk .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Bewirft sie ein Kunstwerk ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie ein Kunstwerk bewirft .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie findet eine Lösung .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Lösung findet sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb findet sie eine Lösung .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Findet sie eine Lösung ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Lösung findet .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie abonniert eine Zeitschrift .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Zeitschrift abonniert sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb abonniert sie eine Zeitschrift .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Abonniert sie eine Zeitschrift ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Zeitschrift abonniert .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	base-spron	1	3	Sie rasieren Bärte .					WAHR					3	0	2			
VF[O]LK[V]MF[S]	base-spron	3	1	Bärte rasieren sie .					FALSCH					3	0	2			
LK[V]MF[SO]	base-spron	3	4	Deshalb rasieren sie Bärte .					WAHR					4	0	1			
LK[V]MF[SO]Q	base-spron	2	3	Rasieren sie Bärte ?					WAHR					3	0	1			
MF[SO]VC[V]	base-spron	2	3	Weil sie Bärte rasieren .					WAHR					4	0	1			
VF[S]LK[V]MF[O]	base-spron	1	3	Sie trinken Kaffees .					WAHR					3	0	2			
VF[O]LK[V]MF[S]	base-spron	3	1	Kaffees trinken sie .					FALSCH					3	0	2			
LK[V]MF[SO]	base-spron	3	4	Deshalb trinken sie Kaffees .					WAHR					4	0	1			
LK[V]MF[SO]Q	base-spron	2	3	Trinken sie Kaffees ?					WAHR					3	0	1			
MF[SO]VC[V]	base-spron	2	3	Weil sie Kaffees trinken .					WAHR					4	0	1			
VF[S]LK[V]MF[O]	base-spron	1	3	Sie schreiben Romane .					WAHR					3	0	2			
VF[O]LK[V]MF[S]	base-spron	3	1	Romane schreiben sie .					FALSCH					3	0	2			
LK[V]MF[SO]	base-spron	3	4	Deshalb schreiben sie Romane .					WAHR					4	0	1			
LK[V]MF[SO]Q	base-spron	2	3	Schreiben sie Romane ?					WAHR					3	0	1			
MF[SO]VC[V]	base-spron	2	3	Weil sie Romane schreiben .					WAHR					4	0	1			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie beendet eine Rede .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Rede beendet sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb beendet sie eine Rede .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Beendet sie eine Rede ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Rede beendet .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie bekommt ein Grundgehalt .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Ein Grundgehalt bekommt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb bekommt sie ein Grundgehalt .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Bekommt sie ein Grundgehalt ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie ein Grundgehalt bekommt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	base-spron	1	3	Sie ziehen Bauzäune .					WAHR					3	0	2			
VF[O]LK[V]MF[S]	base-spron	3	1	Bauzäune ziehen sie .					FALSCH					3	0	2			
LK[V]MF[SO]	base-spron	3	4	Deshalb ziehen sie Bauzäune .					WAHR					4	0	1			
LK[V]MF[SO]Q	base-spron	2	3	Ziehen sie Bauzäune ?					WAHR					3	0	1			
MF[SO]VC[V]	base-spron	2	3	Weil sie Bauzäune ziehen .					WAHR					4	0	1			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie gewinnt eine Tour .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Tour gewinnt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb gewinnt sie eine Tour .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Gewinnt sie eine Tour ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Tour gewinnt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	base-spron	1	4	Sie übernimmt eine Bauausführung .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	base-spron	4	2	Eine Bauausführung übernimmt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	base-spron	3	5	Deshalb übernimmt sie eine Bauausführung .					WAHR					5	0	2			
LK[V]MF[SO]Q	base-spron	2	4	Übernimmt sie eine Bauausführung ?					WAHR					4	0	2			
MF[SO]VC[V]	base-spron	2	4	Weil sie eine Bauausführung übernimmt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	aux-spron	1	3	Sie werden Angriffe starten .					WAHR					4	1	2			
VF[O]LK[V]MF[S]	aux-spron	3	1	Angriffe werden sie starten .					FALSCH					4	1	2			
LK[V]MF[SO]	aux-spron	3	4	Deshalb werden sie Angriffe starten .					WAHR					5	1	1			
LK[V]MF[SO]Q	aux-spron	2	3	Werden sie Angriffe starten ?					WAHR					4	1	1			
MF[SO]VC[V]	aux-spron	2	3	Weil sie Angriffe starten werden .					WAHR					5	1	1			
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird ein Doppelleben leben .					WAHR					5	1	3			
VF[O]LK[V]MF[S]	aux-spron	4	2	Ein Doppelleben wird sie leben .					FALSCH					5	1	2			
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie ein Doppelleben leben .					WAHR					6	1	2			
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie ein Doppelleben leben ?					WAHR					5	1	2			
MF[SO]VC[V]	aux-spron	2	4	Weil sie ein Doppelleben leben wird .					WAHR					6	1	2			
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird eine Aufnahme übertexten .					WAHR					5	1	3			
VF[O]LK[V]MF[S]	aux-spron	4	2	Eine Aufnahme wird sie übertexten .					FALSCH					5	1	2			
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie eine Aufnahme übertexten .					WAHR					6	1	2			
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie eine Aufnahme übertexten ?					WAHR					5	1	2			
MF[SO]VC[V]	aux-spron	2	4	Weil sie eine Aufnahme übertexten wird .					WAHR					6	1	2			
VF[S]LK[V]MF[O]	aux-spron	1	5	Sie wird eine Traumhochzeit spielen .					WAHR					5	1	4			
VF[O]LK[V]MF[S]	aux-spron	5	3	Eine Traumhochzeit spielen wird sie .					FALSCH					5	1	2			
LK[V]MF[SO]	aux-spron	3	6	Deshalb wird sie eine Traumhochzeit spielen .					WAHR					6	1	3			
LK[V]MF[SO]Q	aux-spron	2	5	Wird sie eine Traumhochzeit spielen ?					WAHR					5	1	3			
MF[SO]VC[V]	aux-spron	2	5	Weil sie eine Traumhochzeit spielen wird .					WAHR					6	1	3			
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird ein Kunstwerk bewerfen .					WAHR					5	1	3			
VF[O]LK[V]MF[S]	aux-spron	4	2	Ein Kunstwerk wird sie bewerfen .					FALSCH					5	1	2			
LK[V]MF[SO]	aux-spron	3	5	Deshalb wird sie ein Kunstwerk bewerfen .					WAHR					6	1	2			
LK[V]MF[SO]Q	aux-spron	2	4	Wird sie ein Kunstwerk bewerfen ?					WAHR					5	1	2			
MF[SO]VC[V]	aux-spron	2	4	Weil sie ein Kunstwerk bewerfen wird .					WAHR					6	1	2			
VF[S]LK[V]MF[O]	aux-spron	1	4	Sie wird eine Lösung finden .					WAHR					5	1	3			
